pnt cod0 cod1 cod2 cod3 cod4 
-0.22 7.853199814849948e-09 4.7365120313230075e-09 4.6704038792041834e-09 4.6693481365790786e-09 4.669325487168572e-09 
-0.2195 3.3476728812387657e-09 6.826519353289751e-10 6.667959176085862e-10 6.661994641372831e-10 6.661914509612521e-10 
-0.21894303797468354 1.4824942947349377e-09 0 0 0 0 
-0.2183291139240506 9.569728333877549e-10 0 0 0 0 
-0.21765822784810124 1.7480353519742351e-09 0 0 0 0 
-0.2169303797468354 1.545406528614977e-09 0 0 0 0 
-0.2161455696202531 0 0 0 0 0 
-0.21530379746835443 0 0 0 0 0 
-0.21440506329113923 0 0 0 0 0 
-0.2134493670886076 0 0 0 0 0 
-0.21243670886075947 0 0 0 0 0 
-0.2113670886075949 0 0 0 0 0 
-0.2102405063291139 0 0 0 0 0 
-0.20905696202531646 0 0 0 0 0 
-0.20781645569620255 0 0 0 0 0 
-0.20651898734177215 0 0 0 0 0 
-0.2051645569620253 0 0 0 0 0 
-0.20375316455696202 0 0 0 0 0 
-0.20228481012658225 0 0 0 0 0 
-0.20075949367088602 0 0 0 0 0 
-0.1991772151898734 0.004013990217365708 0.0037924885586455887 0.0037765284492445083 0.003776368534608463 0.0037763637777440463 
-0.1975379746835443 0.005733659184046933 0.005420255591052414 0.005397455277635696 0.005397227217099656 0.005397220424385934 
-0.19584177215189874 0.006978345796592004 0.0065982139994799575 0.006570460082660279 0.006570182500777183 0.006570174231966167 
-0.19408860759493668 0.007990951989704717 0.007555812052849398 0.0075240274026406925 0.0075237093140620775 0.007523699842229174 
-0.1922784810126582 0.008905071495626934 0.008420804012796936 0.008385378077735386 0.008385023484324693 0.008385012925368848 
-0.19041139240506327 0.009761767121223706 0.009232324574452673 0.009193483127734152 0.00919309445627215 0.009193082877832149 
-0.18848734177215193 0.010564221831010414 0.009992813591966253 0.009950770782817914 0.009950350185472233 0.009950337651090851 
-0.18650632911392406 0.011302660336129464 0.01069241860462527 0.010647428868729868 0.010646978764729694 0.010646965349369075 
-0.18446835443037973 0.01202759201291317 0.01138025025516426 0.011332364745373113 0.011331885859183401 0.011331871578681164 
-0.182373417721519 0.012723249894056956 0.01204068963842346 0.011990023479535964 0.01198951714530027 0.01198950203391995 
-0.18022151898734176 0.013363615010334397 0.012648163152487894 0.012594936512765192 0.01259440489667432 0.012594389018881475 
-0.17801265822784812 0.014006353560103614 0.01325895179386175 0.013203152930996059 0.013202596111963909 0.013202579465025564 
-0.17574683544303799 0.014640026709712432 0.013861903322122131 0.013803566543285632 0.013802985017090381 0.013802967611645863 
-0.1734240506329114 0.015236975887922858 0.014429786029329003 0.014369057338158296 0.014368452415314663 0.014368434294106502 
-0.17104430379746838 0.01581154201842914 0.014976661468187252 0.014913629234507526 0.014913001665300046 0.014912982854498925 
-0.16860759493670885 0.016382073688109174 0.015520466656290274 0.015455145132758075 0.015454495116872247 0.01545447562122376 
-0.1661139240506329 0.01694708619057803 0.016059752291272163 0.01599216181481415 0.01599148958182422 0.01599146940783111 
-0.1635632911392405 0.017487333647577284 0.016575443495429408 0.016505682483367267 0.01650498881245714 0.01650496798890436 
-0.16095569620253164 0.017986847789601898 0.017052102991028176 0.01698033410494985 0.016979620406197264 0.016979598980734704 
-0.15829113924050633 0.0185231881432234 0.01756582081987827 0.017491893614150385 0.017491158683377472 0.01749113661321659 
-0.15556962025316456 0.019015967358607364 0.018037335349457714 0.017961424500386364 0.017960669839247507 0.017960647175132228 
-0.15279113924050633 0.019495653830735492 0.01849702548038953 0.018419181864707725 0.01841840799245573 0.018418384749894122 
-0.14995569620253163 0.0199830896852101 0.018965110607188515 0.018885301362771924 0.018884508072135493 0.01888448424227562 
-0.1470632911392405 0.020443645813103217 0.01940757731369974 0.019325909577898297 0.01932509787840575 0.019325073492756598 
-0.14411392405063292 0.0208957739309238 0.019842636115327782 0.01975914242125716 0.019758312651161965 0.019758287719843618 
-0.14110759493670885 0.021363601059588056 0.020294158052094675 0.02020877317599851 0.020207924894877147 0.020207899400063126 
-0.13804430379746835 0.021778411437582437 0.020694033028959828 0.02060697003719591 0.020606105229140026 0.020606079232615725 
-0.1349240506329114 0.022190951352428535 0.0210927399264443 0.021004006574734356 0.02100312540148508 0.021003098906493715 
-0.13174683544303797 0.0226146765703795 0.021503511725435666 0.021413061041914747 0.021412163184593477 0.02141213617867671 
-0.1285126582278481 0.0230233194686019 0.021900300091530128 0.02180819180900181 0.02180727796334469 0.021807250464560755 
-0.1252215189873418 0.023404549462256542 0.022270786693376437 0.022177130603089297 0.022176201720428237 0.022176173761002938 
-0.121873417721519 0.02379750723474128 0.022654177031414063 0.022558924077236454 0.022557979888717036 0.022557951456064616 
-0.11846835443037974 0.024155772780220037 0.023003985303392885 0.022907274811663873 0.022906316484631192 0.02290628761940215 
-0.11500632911392407 0.024534496041451775 0.023375559679777544 0.023277306839140335 0.023276333855253142 0.02327630453495465 
-0.1114873417721519 0.024888693125804016 0.02372373087007408 0.02362403400872732 0.02362304729237028 0.0236230175461368 
-0.10791139240506328 0.025216682296337087 0.02404686873339903 0.02394583299516031 0.02394483362782136 0.02394480348684124 
-0.10427848101265823 0.025559633828496117 0.024386586944012592 0.024284149820784362 0.024283137645778025 0.024283107094360445 
-0.10058860759493672 0.025881168635907417 0.024705987763738023 0.024602235096995818 0.024601210865597172 0.02460117992945261 
