pnt cod0 cod1 cod2 cod3 cod4 
-0.22 1.7617970998002423e-09 3.190945289294432e-10 3.2270168181901067e-10 3.223718311311989e-10 3.225544815101998e-10 
-0.21974999999999997 2.1294310391781057e-09 6.26974648725921e-10 6.318157400234188e-10 6.313045952269084e-10 6.315638828165973e-10 
-0.21948584905660376 2.5303076495941697e-09 9.630338476026504e-10 9.69221030638853e-10 9.68512043568995e-10 9.68854953297019e-10 
-0.21920754716981133 2.966480120496892e-09 1.329047669089769e-09 1.3367000837981153e-09 1.335775668196578e-09 1.3362096221051265e-09 
-0.2189150943396226 2.404318549815121e-09 8.030687467055722e-10 8.087490731731606e-10 8.08126227878492e-10 8.084344620784349e-10 
-0.21860849056603773 1.0026064867192038e-09 -4.621078737176922e-10 -4.612839686464206e-10 -4.611745822884211e-10 -4.611728547590569e-10 
-0.2182877358490566 -3.4023577078023426e-09 -4.408394825230097e-09 -4.422789519703232e-09 -4.420391154195141e-09 -4.421349137619773e-09 
-0.21795283018867923 -7.63132579970409e-09 -8.201304804717702e-09 -8.230297713827089e-09 -8.22570114369995e-09 -8.227580734877617e-09 
-0.21760377358490565 -1.0029032329733433e-08 -1.0359753096643424e-08 -1.0397029152462228e-08 -1.0391183479420467e-08 -1.0393586491959653e-08 
-0.21724056603773587 -1.0698740356809279e-08 -1.098646247562689e-08 -1.1026078553036143e-08 -1.1019874792206374e-08 -1.1022427094051099e-08 
-0.21686320754716978 -1.1303723432519659e-08 -1.1558638960750209e-08 -1.1600375704787967e-08 -1.1593846067341689e-08 -1.1596534058534556e-08 
-0.21647169811320754 -1.1884462107822049e-08 -1.2112178697407633e-08 -1.215595525335871e-08 -1.2149111121150658e-08 -1.2151929958622799e-08 
-0.21606603773584906 -1.2332101903075703e-08 -1.2550954192332725e-08 -1.2596316556705713e-08 -1.258922518178078e-08 -1.2592146569278608e-08 
-0.21564622641509432 -1.2651468180239683e-08 -1.2878933511697152e-08 -1.292544600200444e-08 -1.291817211472514e-08 -1.292116883845031e-08 
-0.21521226415094338 -1.2884776670461098e-08 -1.3131951017036297e-08 -1.3179326888861153e-08 -1.3171913566106985e-08 -1.3174967690130294e-08 
-0.21476415094339624 -1.290145880176986e-08 -1.3201584766194776e-08 -1.3249090783529634e-08 -1.3241646081464026e-08 -1.3244712021847027e-08 
-0.2143018867924528 -1.714821824881872e-08 -1.7042667275747548e-08 -1.71048955208063e-08 -1.709522907659485e-08 -1.709922581608228e-08 
-0.2138254716981132 -2.1818328500314833e-08 -2.1261179188755606e-08 -2.1339557707708527e-08 -2.1327452831415163e-08 -2.133247116246243e-08 
-0.21333490566037736 -2.4896232322648622e-08 -2.4052745235795717e-08 -2.4141792994083302e-08 -2.4128074815312334e-08 -2.413376889222118e-08 
-0.21283018867924525 -3.4173186976464244e-08 -3.236648703753593e-08 -3.248754125817438e-08 -3.246900447836893e-08 -3.247671930233366e-08 
-0.21231132075471698 -4.199348899230108e-08 -3.9395078901868273e-08 -3.9543226750239804e-08 -3.9520606018252105e-08 -3.953003291469514e-08 
-0.21177830188679247 -4.5109129680600445e-08 -4.220526692629826e-08 -4.236435827125029e-08 -4.234008677098715e-08 -4.235020548206653e-08 
-0.21123113207547167 -4.705216091341034e-08 -4.3989506358614626e-08 -4.415550989257189e-08 -4.4130188028632585e-08 -4.4140746052443135e-08 
-0.2106698113207547 -5.465611237137299e-08 -5.0784804884163786e-08 -5.097707661836624e-08 -5.0947805661507104e-08 -5.0960020870883344e-08 
-0.2100943396226415 -7.38115037783009e-08 -6.776073398327906e-08 -6.801900082035678e-08 -6.797984515941045e-08 -6.79962116035357e-08 
-0.20950471698113204 -7.799459399825882e-08 -7.15485748983062e-08 -7.182114283921936e-08 -7.177982773450153e-08 -7.179709944553567e-08 
-0.20890094339622642 -8.118210053711037e-08 -7.447777920534143e-08 -7.476122558648242e-08 -7.471826071660329e-08 -7.473622309369438e-08 
-0.20828301886792455 -8.46720624670133e-08 -7.767429042180734e-08 -7.797013176854924e-08 -7.792528687968426e-08 -7.794403637309553e-08 
-0.2076509433962264 -1.347548095513851e-07 -1.2209134974383334e-07 -1.2255665022661006e-07 -1.2248643573903e-07 -1.22515845910167e-07 
-0.20700471698113207 -1.4969385907095424e-07 -1.353416638179139e-07 -1.3586152687632637e-07 -1.357831132292104e-07 -1.3581596523229827e-07 
